,r_s,tau,eavg,err
0,1,0.0125,-1.414022134173131,0.0016667191434446473
1,1,0.025,-1.4061398300268415,0.0012903311939464197
2,1,0.05,-1.4023874717123155,0.0008991155125398784
3,1,0.1,-1.3989264241705925,0.0007375476458686871
4,2,0.004,-0.7250894255274788,0.003540056612420414
5,2,0.02,-0.7207528762012156,0.0010664275785840156
6,2,0.1,-0.7076365779037789,0.0004452080990837119
7,2,0.004,-0.7265006580992567,0.0023720586736766776
8,2,0.02,-0.720613513820035,0.0007115009464598496
9,2,0.1,-0.7075178791045427,0.0003004063489067359
10,2,0.05,-0.7130043992434192,0.0007396701454181139
11,2,0.1,-0.7080224499809298,0.00051561684846799
12,2,0.2,-0.7029022317210984,0.00044382517278753126
13,4,0.05,-0.3691467035548441,0.00047304880042521277
14,4,0.1,-0.3655626194382892,0.0003389347327335029
15,4,0.2,-0.3615965626863475,0.0002647749748705029
16,4,0.4,-0.35665048080318934,0.00021593044156668122
17,8,0.1,-0.19059432545666827,0.00018338536911921427
18,8,0.2,-0.18909813304184317,0.00011660147316804353
19,8,0.4,-0.18691162058536978,9.463525182836379e-05
20,8,0.8,-0.18377770872248492,9.664628577828428e-05
